university_id,nama,npsn,nama singkat,kode_pos,telepon,fax,email,alamat,kota,provinsi,akreditasi,Status ,rank_qs,rank_country
11,Universitas Dayanu Ikhsanuddin,91006,UNIDAYAN,93711,4022821327,,info@unidayan.ac.id,Jalan Yos Sudarso No 43,Bau Bau,Sulawesi Tenggara,Baik Sekali,swasta,,
12,Universitas Panji Sakti Singaraja,81008,UNIPAS,81117,36223588,,humas@unipas.ac.id,Jalan Bisma No 22 Singaraja- Bali,Buleleng,Bali,Baik,swasta,,
13,Universitas Persatuan Guru Republik Indonesia Semarang,61038,UPGRIS,50125,248316377,,upgris@upgris.ac.id,Jalan Lontar No 1 Semarang,Semarang,Jawa Tengah,Baik Sekali,swasta,,
14,Universitas Katolik Widya Mandala Surabaya,71003,UKWMS,60265,315678478,,pr-office@ukwms.ac.id,Jalan Dinoyo No 42-44,Nunukan,Kalimantan Utara,Unggul,swasta,,
15,Institut Agama Islam Imam Ghozali (IAIIG) Cilacap,212019,IAIIG,53274,282695415,,info@iaiig.ac.id,Jl. Kemerdekaan Barat No. 17 Kesugihan Kidul Kesugihan Cilacap,Cilacap,Jawa Tengah,Baik,swasta,,
16,Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,201028,UIN Gusdur,51141,(0285) 412575,,info@uingusdur.ac.id,Jl. Kusuma Bangsa No.9,Pekalongan,Jawa Tengah,Unggul,swasta,,
17,Institut Kesehatan Helvetia,12006,,20124,6142084106,,info@helvetia.ac.id,Jl. Kapten Sumarsono no.107 Medan,Medan,Sumatera Utara,Baik Sekali,swasta,,
18,Institut Informatika Dan Bisnis Darmajaya,22001,IIB Darmajaya,35142,"(0721)787214, 781310",,info@darmajaya.ac.id,Jl ZA Pagar Alam No 93 Labuhan Ratu (dh. STMIK-STIE Daramajaya),Bandar Lampung,Lampung,Baik Sekali,swasta,,
19,Institut Pemerintahan Dalam Negeri,342001,IPDN,45363,227798252,,mail@ipdn.ac.id,"Jl. Ir. Soekarno Km. 20 Sumedang, Jawa Barat",Natuna,Kepulauan Riau,Baik Sekali,swasta,,
20,Universitas Alma Ata,51021,UAA,55011,(0274) 434 2288,,admin@almaata.ac.id; uaa@almaata.ac.id,Jalan Ringroad Barat Daya No 1 Tamantirto,Bantul,Daerah Istimewa Yogyakarta,Baik Sekali,swasta,,
21,Universitas Jember,1025,UNEJ,68121,331330224,,humas@unej.ac.id,Jalan Kalimantan No 37 Kampus Tegalboto,Jember,Jawa Timur,Unggul,negeri,,
22,Universitas Hasanuddin,1005,Unhas,90245,411586200,,rector@unhas.ac.id,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Makassar,Sulawesi Selatan,Unggul,negeri,1004.0,12.0
23,Institut Agama Islam Nahdlatul Ulama Tuban,212086,IAINU TUBAN,62318,(0356) 331 572,,sekretariat@iainutuban.ac.id,Jl. Manunggal Nomor 10-12 Kel. Sukolilo Kec. Tuban,Tuban,Jawa Timur,Baik,swasta,,
24,Universitas Multimedia Nusantara Jakarta,31051,UMN,15111,021 5422 0808,,rektorat@umn.ac.id,Scientia Garden Jln. Boulevard Gading Serpong Tangerang Banten,Tangerang,Banten,Unggul,swasta,,
25,Universitas Pembangunan Indonesia Manado,161012,UNPI,95115,431827686,,unpimanado@yahoo.com | info@unpi.ac.id,Jl Wolter Mongisidi VI129 Lingkungan II Bahu,Manado,Sulawesi Utara,Baik,swasta,,
26,Universitas Ichsan Gorontalo,161014,Unisan,96115,435829975,,info@unisan.ac.id,Jalan Raden Saleh No 17,Gorontalo,Gorontalo,Baik Sekali,swasta,,
27,Universitas 17 Agustus 1945 Cirebon,41010,UNTAG Cirebon,45135,231481945,,akademik_center@untagcirebon.ac.id,Jalan Perjuangan No 17 By Pass,Cirebon,Jawa Barat,Baik Sekali,swasta,,
28,Universitas Muhammadiyah Sumatera Barat,101002,UM Sumatera Barat,25172,7514851002,,info@umsb.ac.id,Jalan Pasir Kandang No 4 Koto Tangah,Padang,Sumatera Barat,Baik Sekali,swasta,,
29,Universitas Ubudiyah Indonesia,131010,Ubudiyah,23231,6517555565,,info@uui.ac.id,"JL. Alue Naga Desa Tibang, Kec. Syiah Kuala, Kota Banda Aceh.",Banda Aceh,Aceh,Baik,swasta,,
30,Universitas Bandar Lampung,21012,UBL,35142,721701463,,www@ubl.ac.id,Jalan ZA Pagar Alam No 26 Labuhan Ratu,Bandar Lampung,Lampung,Baik Sekali,swasta,,
31,Universitas Bung Hatta,101001,UBH,25133,7517051678,,rektorat@bunghatta.ac.id,Jalan Sumatera Ulak Karang,Padang,Sumatera Barat,Baik Sekali,swasta,,
32,Universitas Lampung,1026,UNILA,35145,721701609,,humas@kpa.unila.ac.id,Jl Sumantri Brojonegoro No 1 Gedong Meneng,Bandar Lampung,Lampung,Unggul,negeri,1406.0,25.0
33,Universitas Jabal Ghafur,131001,unigha,24163,81252532958,,unigha@unigha.ac.id,Jalan Glegapui,Pidie,Aceh,Baik Sekali,swasta,,
34,Universitas Widya Gama,71030,UWG,65128,"341,492,282,496,919",,akademik@widyagama.ac.id,Jalan Borobudur Nomor 35,Kepulauan Talaud,Sulawesi Utara,Baik Sekali,swasta,,
35,Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,201027,UIN Bukittinggi,26181,75222875,,info@uinbukittinggi.ac.id,Jln. Raya Gurun Aur Kubang Putiah Kec. Banuhampu,Bukittinggi,Sumatera Barat,Baik Sekali,swasta,,
36,Universitas Islam Negeri Sumatera Utara Medan,201008,UINSU,0,+6261 6615683,,pustipada@uinsu.ac.id,--,Medan,Sumatera Utara,Baik Sekali,swasta,,
37,Universitas Gunung Leuser Aceh,131009,UGL,24651,629522052,,ugl_kutacane@yahoo.co.id,JALAN ISKANDAR MUDA NO 1 KOTACANE,Aceh Tenggara,Aceh,Baik,swasta,,
38,Universitas Muhammadiyah Luwuk,161008,UML,94711,46123452,,uml@unismuhluwuk.ac.id,Jalan KH Ahmad Dahlan No 79,Banggai,Sulawesi Tengah,Baik,swasta,,
39,Universitas Muhammadiyah Surabaya,71012,UMSurabaya,60113,313811966,,rektorat@um-surabaya.ac.id,Jalan Sutorejo 59,Surabaya,Jawa Timur,Baik Sekali,swasta,,
40,Institut Ilmu Sosial dan Bisnis Andi Sapada,92020,INSTITUT ANDI SAPADA,91121,85242306666,,isb.andisapada@amsir.ac.id,"Jalan H. Andi Sapada No. 11, Kelurahan Sumpang Minangae",Pare Pare,Sulawesi Selatan,Baik Sekali,swasta,,
41,Universitas Pakuan,41004,Unpak,16144,2518312206,,rektorat@unpak.ac.id,Jalan Pakuan No.1 Ciheuleut,Bogor,Jawa Barat,Baik Sekali,swasta,,
42,Institut Pesantren KH. Abdul Chalim Pacet Mojokerto,212050,,61374,(0321) 6855722,,rektorat@ikhac.ac.id,Jl. Tirtowening No. 17 Ds. Bendunganjati Kec. Pacet Kab Mojokerto,Mojokerto,Jawa Timur,Baik,swasta,,
43,Universitas Malahayati,21009,UNMAL,35153,721271112,,sekretariat@malahayati.ac.id,"Jalan Pramuka No 27, Kemiling",Bandar Lampung,Lampung,Baik Sekali,swasta,,
44,Institut Agama Islam Az-Zaytun Indonesia,212028,IAI AL-AZIS,45264,(0234) 742815,,sekretariat@iai-alzaytun.ac.id,"KAMPUS IAI ALAZIS, KECAMATAN GANTAR, KABUPATEN INDRAMAYU, INDONESIA",Indramayu,Jawa Barat,Baik,swasta,,
45,Universitas Mandiri,41090,Universitas Mandiri,41213,(0260) 417853,,info@universitasmandiri.ac.id,Jalan Marsinu No. 5 Tegal Kalapa-Subang,Subang,Jawa Barat,Baik,swasta,,
46,Institut Agama Islam Nusantara Batang Hari,212087,IAIN Batang Hari,36612,(0743) 21749,,iainbatanghari@gmail.com,"Jalan Gajah Mada Kelurahan Teratai, Kecamatan Muara Bulian, Kabupaten Batang Hari, Propinsi Jambi",Batanghari,Jambi,Baik,swasta,,
47,Universitas Islam Majapahit,71066,UNIM,61367,321399474,,info@unim.ac.id,Jalan Raya Jabon Mojokerto,Mojokerto,Jawa Timur,Baik,swasta,,
48,Universitas Medika Suherman,41094,UMS,17534,(021) 89111110,,info@medikasuherman.ac.id,"Jalan Raya Industri Pasir Gombong Cikarang-Bekasi, Kecamatan Cikarang Utara, Kabupaten Bekasi",Bekasi,Jawa Barat,Baik Sekali,swasta,,
49,Universitas Teknologi Yogyakarta,51018,UTY,55285,274623310,,info@uty.ac.id,Jalan Ring Road Utara Jombor Sleman,Sleman,Daerah Istimewa Yogyakarta,Baik Sekali,swasta,,
50,Universitas Trunojoyo,1043,UTM,69162,313011146,,humas@trunojoyo.ac.id,Jalan Raya Telang PO. Box 2 Kamal,Bangkalan,Jawa Timur,Baik Sekali,negeri,,
51,Universitas Pertamina,31062,UPer,12220,+6221 50857540,,info@universitaspertamina.ac.id,"Jalan Teuku Nyak Arief, Simprug, Kecamatan Kebayoran Lama",Administrasi Jakarta Selatan,DKI Jakarta,Baik,swasta,,
52,Universitas Kristen Immanuel,51010,UKRIM,57452,0274496256;496257,,humas@ukrimuniversity.ac.id,Jalan Solo KM 11,Klaten,Jawa Tengah,Baik Sekali,swasta,,
53,Universitas Pasifik Morotai,121018,,0,9232221233,,unipas_pasifik@yahoo.co.id,Morotai Maluku Utara,Pulau Morotai,Maluku Utara,Baik,swasta,,
54,Universitas Satya Terra Bhinneka,11066,ST Bhinneka,20128,618457702,,office@satyaterrabhinneka.ac.id,Jl. Sunggal Gg. Bakul Lingkungan XI Pekan I Sunggal,Medan,Sumatera Utara,Baik,swasta,,
55,Universitas Ma'arif Nahdlatul Ulama Kebumen,61040,UMNU KEBUMEN,54316,0287 6601209,,umnukebumen@gmail.com,"Jalan Kusuma No. 75 Kebumen, Jawa Tengah",Kebumen,Jawa Tengah,Baik,swasta,,
56,Universitas Kebangsaan,41036,UKRI,40263,227301987,,universitaskebangsaan@universitaskebangsaan.ac.id,Jalan Terusan Halimun No 37 Bandung,Bandung,Jawa Barat,Baik,swasta,,
57,Institut Ilmu Sosial dan Manajemen STIAMI,32017,Institut STIAMI,10530,021 4213380,,corporatesecretary@stiami.ac.id,"Jl. Pangkalan Asem Raya No. 55, Jakarta",Administrasi Jakarta Pusat,DKI Jakarta,Baik Sekali,swasta,,
58,Universitas AKPRIND Indonesia,51031,AKPRIND University,55222,274563029,,info@akprind.ac.id,Jalan Kalisahak No 28 Komplek Balapan,Yogyakarta,Daerah Istimewa Yogyakarta,Baik Sekali,swasta,,
59,Universitas Bina Sarana Informatika,31065,UBSI,10450,021  23231170,,rektorat@bsi.ac.id,"Kampus Kramat 98 Jl. Kramat Raya No.98, Senen, Jakarta Pusat 10450
tlp. (021) 23231170, Fax. (021) 21236158",Administrasi Jakarta Pusat,DKI Jakarta,Baik Sekali,swasta,,
60,Universitas Baiturrahmah,101009,unbrah,25172,751463069,,rektorat@unbrah.ac.id,Jalan Raya By Pass Km 15 Air-pacah,Padang,Sumatera Barat,Baik Sekali,swasta,,
61,Universitas Islam Madura,71068,UIM,69351,324321783,,official@uim.ac.id,Kompleks PP Miftahul Ulum Bettet,Pamekasan,Jawa Timur,Baik,swasta,,
62,Universitas Lancang Kuning,171007,Unilak,28265,(0761) 52248,,info@unilak.ac.id,"Jalan Yos Sudarso Km 8 Rumbai, Pekanbaru, Riau, Indonesia",Pekanbaru,Riau,Baik Sekali,swasta,,
63,Universitas Trunajaya Bontang,111012,UNIJAYA BONTANG,75311,5483035920,,trunajaya_btg@yahoo.co.id,Jl.Taekwondo I RT.9 No.55 Kelurahan Api-api Kecamatan Bontang Utara Kota Bontang,Bontang,Kalimantan Timur,Baik,swasta,,
64,Universitas Darul  ulum,71023,UNDAR,61413,321853436,,office@undar.ac.id,Jln. KH. Abdurrahman Wahid  (Gus Dur)  29A  (ex. Jln. Merdeka),Jombang,Jawa Timur,Baik Sekali,swasta,,
65,Universitas Al-Azhar,11026,UA,20142,618366679,,univ.alazharmedan@yahoo.co.id,"Jalan Pintu Air IV No. 214 Kwala Bekala, Padang Bulan",Bulungan,Kalimantan Utara,Baik,swasta,,
66,Universitas Aisyiyah Yogyakarta,51022,UNISA Yogyakarta,55292,2744469199,,info@unisayogya.ac.id,Jalan Ring Road Barat No. 63 Mlangi Nogotirto,Natuna,Kepulauan Riau,Unggul,swasta,,
67,Universitas Muhammadiyah Karanganyar,61070,UMUKA,57761,8112801912,,umuka@umuka.ac.id,Jl. Raya Solo-Tawangmangu KM.12 RT/RW 003/001 Kodokan Papahan Tasikmadu Tlp 0271-6498851,Karanganyar,Jawa Tengah,Baik,swasta,,
68,Universitas Ibrahimy,71095,UNIB,68374,(0338) 451307,,unib2018@ibrahimy.ac.id,Jl. KHR. Syamsul Arifin No. 1 - 2,Situbondo,Jawa Timur,Baik Sekali,swasta,,
69,Universitas Yudharta Pasuruan,71069,UYP,67162,343611186,,informasi@yudharta.ac.id,Jalan Yudharta No 7 Sengonagung Kecamatan Purwosari Kabupaten Pasuruan,Pasuruan,Jawa Timur,Baik Sekali,swasta,,
70,Universitas PTIQ Jakarta,211011,,12440,(021) 7690901,,admin@ptiq.ac.id,"Jalan Lebak Bulus Raya No. 2, Kelurahan Lebak Bulus, Kecamatan Cilandak",Tangerang Selatan,Banten,Baik Sekali,swasta,,
71,Universitas Muhammadiyah Magelang,61004,UNIMMA,56126,293326945,,humas@unimma.ac.id,"Kampus 1 : Jalan Tidar No 21 
Kampus 2 : Jl. mayjend Bambang Soegeng KM5 Mertoy",Magelang,Jawa Tengah,Unggul,swasta,,
72,Universitas Muhammadiyah Riau,171018,UMRI,28294,76135008,,umri@umri.ac.id,Kampus Utama: Jl.Tuanku Tambusai RT. 03 RW. 02 Kelurahan Delima,Pekanbaru,Riau,Baik Sekali,swasta,,
73,Universitas Media Nusantara Citra,31071,Universitas MNC,11520,2158302070,,sekretariat@mncu.ac.id,"Jl. Panjang Blok A8, Green Garden",Administrasi Jakarta Barat,DKI Jakarta,Baik,swasta,,
74,Universitas Airlangga,1004,UNAIR,60115,"0315914042, 5914043",,adm@pkip.unair.ac.id,Kampus C Mulyorejo,Surabaya,Jawa Timur,Unggul,negeri,345.0,4.0
75,Institut Agama Islam Tarbiyatut Tholabah Lamongan Jawa Timur,212064,IAI TABAH,62264,85695056423,,iaitabah@iai-tabah.ac.id,Jln. Raya Daendles Nomor. 01 Desa Kranji Kec. Paciran,Kepulauan Talaud,Sulawesi Utara,Baik,swasta,,
76,Universitas Esa Unggul,31033,UEU,11470,(021) 5674152,,pmb@esaunggul.ac.id,Jl Terusan Arjuna Tol Tomang Kebon Jeruk,Administrasi Jakarta Barat,DKI Jakarta,Baik Sekali,swasta,,
77,Universitas Katolik Widya Mandira Kupang,151001,UNWIRA,85225,0380 833395,,info@unwira.ac.id,Kampus Merdeka  : Jl Jend Achmad Yani No 50-52  Kelurahan Merdeka,Kupang,Nusa Tenggara Timur,Baik Sekali,swasta,,
78,Universitas Pembangunan Jaya,41053,UPJ,15224,021  7455555,,info@upj.ac.id,"Jl. Cendrawasih Raya Blok B7/P 
Bintaro Jaya Sawah Baru Ciputat",Tangerang Selatan,Banten,Baik Sekali,swasta,,
79,Institut Bisnis dan Informatika (IBI) Kosgoro 1957,32015,IBI-K57,12610,(021) 7868776,,info@ibi-k57.ac.id,Jln Moch. Kahfi II No 33 Lenteng Agung Jakarta Selatan,Administrasi Jakarta Selatan,DKI Jakarta,Baik,swasta,,
80,Universitas Indo Global Mandiri,21024,UIGM,11111,711322705,,univ@igm.ac.id,Jl. Jendral Sudirman No. 629 Km. 3.5 Palembang,Palembang,Sumatera Selatan,Baik Sekali,swasta,,
81,Institut Teknologi dan Pendidikan Markandeya Bali,82016,ITP Markandeya Bali,80613,(0366) 5501125,,itpmarkandeyabali@gmail.com/humas@markandeyabali.ac.id,Jalan Muhammad Hatta LC Subak Aya Bangli,Bangli,Bali,Baik,swasta,,
82,Universitas Prof Dr Moestopo (Beragama),31014,UPDM(B),10270,217220269,,admin@moestopo.ac.id,Jalan Hang Lekir I No 8,Administrasi Jakarta Selatan,DKI Jakarta,Baik Sekali,swasta,,
83,Universitas Dharma Andalas,101024,unidha,25127,75137135,,puskom@unidha.ac.id,"Jalan Sawahan No. 103 A, Simpang Haru",Padang,Sumatera Barat,Baik,swasta,,
84,Universitas Jakarta,31005,UNIJA,13210,"4894521, 4722374",,official@universitasjakarta.ac.id,Jalan Pulo Mas Barat Villa Tanah Mas jakarta Timur,Administrasi Jakarta Timur,DKI Jakarta,Baik,swasta,,
85,Universitas Islam Kadiri,71040,UNISKA,64128,(0354)684651; 683243,,sekretariat@uniska-kediri.ac.id,Jl Sersan Suharmadji No 38,Kediri,Jawa Timur,Baik Sekali,swasta,,
86,Institut Ilmu KeIslaman Annuqayah (INSTIKA) Guluk-Guluk Sumenep,212014,INSTIKA,69463,328821098,,"instika@gmail.com, info@instika.ac.id",Bukit Lancaran PP. Annuqayah Guluk-Guluk Sumenep Madura,Sumenep,Jawa Timur,Baik Sekali,swasta,,
87,Universitas Muhammadiyah Sorong,141001,UNAMIN,98416,0951  322382,,info@um-sorong.ac.id,Jalan Pendidikan No 27 Remu Utara,Sorong,Papua Barat Daya,Baik Sekali,swasta,,
88,Institut Agama Hindu Negeri Tampung Penyang Palangka Raya,242002,IAHN Tampung Penyang,73112,5363229942,,iahntampungpenyang@gmail.com,"Jalan G Obos 10, Palangka Raya, Kalimantan Tengah",Palangkaraya,Kalimantan Tengah,Baik,swasta,,
89,Universitas Bumi Persada,131016,UNBP,24351,64549198,,info@unbp.ac.id,"Jalan Banda Aceh - Medan Nomor 59 Alue Awe, Kecamatan Muara Dua",Lhokseumawe,Aceh,Baik,swasta,,
90,Universitas Tulang Bawang,21014,UTB,35121,(0721) 252686 257108,,admin@utb.ac.id,Jalan Gajahmada 34 Kotabaru,Bandar Lampung,Lampung,Baik Sekali,swasta,,
91,Universitas Wijayakusuma Purwokerto,61007,UNWIKU,53152,2816439889,,info@unwiku.ac.id,Kampus Karangsalam Purwokerto,Banyumas,Jawa Tengah,Baik Sekali,swasta,,
92,Universitas Palembang,21006,UNPAL,30139,711440650,,universitas_palembang@yahoo.com,Jalan Dharmapala No 1-A Bukit Besar Palembang,Palembang,Sumatera Selatan,Baik Sekali,swasta,,
93,Universitas Batam,171010,UNIBA,29464,7787485055,,info@univbatam.ac.id,Jl Kampus Abulyatama No 05 Batam Centre,Batam,Kepulauan Riau,Baik Sekali,swasta,,
94,Universitas Tabanan,81006,UNTAB,82121,(0361)9311605,,untab_untab@yahoo.co.id,"Jalan Wagimin No 8 Kediri, Tabanan, Bali.",Tabanan,Bali,Baik Sekali,swasta,,
95,Universitas Langlang Buana,41015,Unla,40261,224218084,,unlanet_kr@yahoo.co.id,Jalan Karapitan No 116,Bandung,Jawa Barat,Baik Sekali,swasta,,
96,Institut Teknologi Perusahaan Listrik Negara,32026,ITPLN,11750,215440342,,rektorat@itpln.ac.id,Menara PLN Jalan Lingkar Luar Barat Duri Kosambi Cengkareng,Administrasi Jakarta Barat,DKI Jakarta,Baik Sekali,swasta,,
97,Universitas Kutai Kartanegara Tenggarong,111008,UNIKARTA,75512,"541,661,821,661,822",,info@unikarta.ac.id,Jalan Gunung Kombeng No 27,Kutai Kartanegara,Kalimantan Timur,Baik Sekali,swasta,,
98,Universitas Muria Kudus,61009,UMK,59352,291438229,,muria@umk.ac.id,Gondangmanis Bae Po Box 53 Gebog Bae Kudus,Kudus,Jawa Tengah,Baik Sekali,swasta,,
99,Universitas Nurul Hasanah Kutacane,131015,UNH,24651,82163230055,,universitasnurulhasanah@gmail.com,"Jalan Ahmad Yani No. 23, Pulo Kemiri, Kecamatan Babussalam, Kutacane, Kabupaten Aceh Tenggara",Aceh Tenggara,Aceh,Baik,swasta,,
100,Universitas Muhammadiyah Aceh,131004,Unmuha,23245,65131583,,rektorat@unmuha.ac.id,"Jalan Muhammadiyah No 91 Desa Batoh, Kecamatan Lueng Bata",Banda Aceh,Aceh,Baik Sekali,swasta,,
101,Universitas Islam 45,41018,UNISMA Bekasi,17113,(021) 8801027,,admin@unismabekasi.ac.id,Jalan Cut Meutia No 83,Bekasi,Jawa Barat,Baik Sekali,swasta,,
102,Universitas Putra Indonesia Yptk Padang,101012,UPI-YPTK,25221,(0751) 776666,,admin@upiyptk.ac.id,"Jl Raya Lubuk Begalung, Padang, Sumatera Barat",Padang,Sumatera Barat,Baik Sekali,swasta,,
103,Institut Teknologi dan Bisnis Carnegie,12019,ITB Carnegie,20214,82272088809,,yaybinainsannegara@gmail.com,Jl. Emas No. 10 Yanglim Building,Medan,Sumatera Utara,Baik,swasta,,
104,Universitas Setia Budi,61022,USB,57127,271852518,,info@setiabudi.ac.id,Jalan Letjen Sutoyo Mojosongo,Surakarta,Jawa Tengah,Baik Sekali,swasta,,
105,Universitas Islam Jember,71034,UIJ,68133,331488675,,universislam.jember@gmail.com,Jalan Kyai Mojo 101 Kaliwates Jember,Jember,Jawa Timur,Baik,swasta,,
106,Universitas Dinamika Bangsa,101034,UNAMA,36139,74135095,,info@unama.ac.id,Jalan Jenderal Sudirman Kelurahan Tambak Sari Thehok,Jambi,Jambi,Baik Sekali,swasta,,
107,Universitas Muhammadiyah Malang,71024,UMM,65144,34146431819,,webmaster@umm.ac.id,Jalan Raya Tlogomas No 246,Malang,Jawa Timur,Unggul,swasta,,
108,Universitas Sanata Dharma,51012,USD,55281,274513301,,rektorat@usd.ac.id,Jalan Mrican Tromolpos 29,Sleman,Daerah Istimewa Yogyakarta,Unggul,swasta,,
109,Universitas Islam Negeri Antasari Banjarmasin,201017,UIN Antasari,70235,(0511) 3257627,,info@uin-antasari.ac.id,"Jl. Jenderal Ahmad Yani Km. 4,5",Banjarmasin,Kalimantan Selatan,Baik Sekali,swasta,,
110,Universitas Muhammadiyah Lampung,21002,UM Lampung,35131,7.22E+14,,um_lampung@yahoo.co.id,"Jl. Prof. Dr. Hamka Kelurahan Sukarame Baru, Kec. Sukarame",Bandar Lampung,Lampung,Baik Sekali,swasta,,
111,Universitas Negeri Malang,1033,UM,65145,341551312,,rektorat@um.ac.id,Jalan Semarang 5 Malang,Malang,Jawa Timur,Unggul,negeri,1401.0,20.0
112,Universitas Cokroaminoto Palopo,91039,UNCP,91921,0471 22111,,rektor@uncp.ac.id,Jalan Latammacelling No 09-B,Palopo,Sulawesi Selatan,Baik Sekali,swasta,,
113,Universitas Teknologi Sumbawa,81030,UTS,84371,03712629906/2629009,,informasi@uts.ac.id,"Jl. Raya Olat Maras, Batu Alang, Moyo Hulu, Sumbawa Besar",Sumbawa,Nusa Tenggara Barat,Baik Sekali,swasta,,
114,Universitas Sampoerna,31056,SU,12760,0215772275 ext 7733,,dairion.dairion@sampoernauniversity.ac.id,"L''Avenue Office Tower, Jl. Raya Pasar Minggu Kav. 16",Administrasi Jakarta Selatan,DKI Jakarta,Baik Sekali,swasta,,
115,Institut Agama Islam Banten,212033,IAIB SERANG,42111,0254  201537,,institut@iaibserang.ac.id,Jl. Ki Fathoni No. 12/51 Pegantungan,Serang,Banten,Baik,swasta,,
116,Universitas Aryasatya Deo Muri,151014,UNADRI,85111,82144324988,,unadri@gmail.com,Jl. Amanuban RT 18 RW 04 Kelurahan Oebufu,Kupang,Nusa Tenggara Timur,Baik,swasta,,
117,Universitas Aki,61034,Universitas AKI,50139,243552555,,universitasaki@unaki.ac.id,"Jl. Imam Bonjol No. 15, 16, 17 Semarang",Semarang,Jawa Tengah,Baik Sekali,swasta,,
118,Universitas Negeri Yogyakarta,1038,UNY,55281,274586168,,akademik@uny.ac.id,Kampus Karangmalang Yogyakarta,Sleman,Daerah Istimewa Yogyakarta,Unggul,negeri,1208.0,19.0
119,Universitas Darul Ulum Islamic Centre Sudirman,61014,UNDARIS,50514,246923180,,undaris.ung@gmail.com,Jalan Tentara Pelajar No 13 Ungaran,Semarang,Jawa Tengah,Baik Sekali,swasta,,
120,Universitas Samudra,1053,UNSAM,24415,641426534,,info@unsam.ac.id,Jalan Kampus Meurandeh -Langsa,Langsa,Aceh,Baik Sekali,negeri,,
121,Universitas Nahdlatul Ulama Al Ghazali Cilacap,61041,UNUGHA,53274,0282 695415,,kita@unugha.ac.id,Jl. Kemerdekaan Timur No. 16 Kesugihan Cilacap,Cilacap,Jawa Tengah,Baik,swasta,,
122,Institut Pertanian (Intan) Yogyakarta,52002,INTAN,55284,(0274) 589520,,intaninstitut@yahoo.co.id; intaninstitut@gmail.com,"Jalan Magelang KM 5,6",Sleman,Daerah Istimewa Yogyakarta,Baik,swasta,,
123,Universitas Tridinanti,21008,Unanti,30129,711355961,,tridinanti@univ-tridinanti.ac.id,Jl Kapten Marzuki No 2446 Kamboja,Palembang,Sumatera Selatan,Baik Sekali,swasta,,
124,Universitas Muhammadiyah Sumatera Utara,11003,UMSU,20238,"0616622400, 6624567",,rektor@umsu.ac.id,Jl Kapt Mukhtar Basri Ba No 3 Glugur Darat II,Medan,Sumatera Utara,Unggul,swasta,,
125,Universitas Dumoga Kotamobagu,161005,UDK,95711,43421831,,admin-udk@udk.ac.id,Jalan Ahmad Yani No 184,Kotamobagu,Sulawesi Utara,Baik,swasta,,
126,Universitas Muslim Indonesia,91002,UMI,90231,(0411) 455666455696,,umi@umi.ac.id,Jl. Urip Sumoharjo Km. 05 Makassar,Makassar,Sulawesi Selatan,Unggul,swasta,,
